,IBOV,SP500,IPCA,IGPM,CDI,Dolar
2020-03-31,-0.29,-0.15,0.0,0.0,0.0,0.13
2020-04-30,-0.21,-0.04,-0.0,0.01,0.01,0.16
2020-05-31,-0.15,0.01,-0.01,0.01,0.01,0.18
2020-06-30,-0.07,0.03,-0.0,0.03,0.01,0.18
2020-07-31,0.01,0.08,-0.0,0.05,0.01,0.12
2020-08-31,-0.03,0.16,0.0,0.08,0.01,0.18
2020-09-30,-0.07,0.11,0.01,0.13,0.02,0.23
2020-10-31,-0.08,0.08,0.02,0.16,0.02,0.26
2020-11-30,0.07,0.2,0.03,0.2,0.02,0.17
2020-12-31,0.17,0.24,0.04,0.21,0.02,0.13
2021-01-31,0.13,0.23,0.04,0.24,0.02,0.19
2021-02-28,0.08,0.26,0.05,0.27,0.02,0.21
2021-03-31,0.14,0.31,0.06,0.31,0.03,0.26
2021-04-30,0.16,0.38,0.06,0.33,0.03,0.16
2021-05-31,0.23,0.39,0.07,0.39,0.03,0.14
2021-06-30,0.24,0.42,0.08,0.39,0.03,0.08
2021-07-31,0.19,0.45,0.09,0.4,0.04,0.11
2021-08-31,0.16,0.5,0.1,0.41,0.04,0.13
2021-09-30,0.09,0.42,0.11,0.4,0.05,0.18
2021-10-31,0.01,0.52,0.13,0.41,0.05,0.23
2021-11-30,-0.0,0.51,0.14,0.41,0.06,0.22
2021-12-31,0.03,0.58,0.14,0.43,0.07,0.22
2022-01-31,0.1,0.49,0.15,0.45,0.07,0.17
2022-02-28,0.11,0.45,0.16,0.48,0.08,0.13
2022-03-25,0.16,0.5,0.16,0.48,0.09,0.05
